GNL_CD,GEN_SHORT,GEN_LONG
320700BIJ,calcium chloride + potassium chloride + sodium chloride + sodium lactate,calcium chloride 0.1g(0.2mg/mL) + potassium chloride 150mg(0.3mg/mL) + sodium chloride 3g(6mg/mL) + sodium lactate 1.55g(3.1mg/mL)
349400BIJ,calcium chloride + potassium chloride + sodium chloride + sodium lactate,calcium chloride 0.2g(0.2mg/mL) + potassium chloride 0.3g(0.3mg/mL) + sodium chloride 6g(6mg/mL) + sodium lactate 3.1g(3.1mg/mL)
512700BIJ,calcium chloride + potassium chloride + sodium chloride + sodium lactate,calcium chloride 0.27g(0.27mg/mL) + potassium chloride 0.4g(0.4mg/mL) + sodium chloride 6g(6mg/mL) + sodium lactate 3.12g(3.12mg/mL)
512800BIJ,calcium chloride + potassium chloride + sodium chloride + sodium lactate,calcium chloride 0.135g(0.27mg/mL) + potassium chloride 0.2g(0.4mg/mL) + sodium chloride 3g(6mg/mL) + sodium lactate 1.56g(3.12mg/mL)
509600BIS,calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 0.92g(Augug 3750mLug)(2ug) + dextrose monohydrate 125g(Augug 3750mLug)(2ug) + magnesium chloride hexahydrate 0.255g(Augug 3750mLug)(2ug) + sodium bicarbonate 11.61g(Bugug 1250mLug)(2ug) + sodium chloride 24.94g(Bugug 1250mLug)(2ug) + sodium lactate 60% 14.03g(Bugug 1250mLug)(2ug)
509700BIS,calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 0.92g(Augug 3750mLug)(2ug) + dextrose monohydrate 212.25g(Augug 3750mLug)(2ug) + magnesium chloride hexahydrate 0.255g(Augug 3750mLug)(2ug) + sodium bicarbonate 11.61g(Bugug 1250mLug)(2ug) + sodium chloride 24.94g(Bugug 1250mLug)(2ug) + sodium lactate 60% 14.03g(Bugug 1250mLug)(2ug)
509800BIS,calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 0.92g(Augug 3750mLug)(2ug) + dextrose monohydrate 75g(Augug 3750mLug)(2ug) + magnesium chloride hexahydrate 0.255g(Augug 3750mLug)(2ug) + sodium bicarbonate 11.61g(Bugug 1250mLug)(2ug) + sodium chloride 24.94g(Bugug 1250mLug)(2ug) + sodium lactate 60% 14.03g(Bugug 1250mLug)(2ug)
665700BIS,calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 0.551g(Augug 1087.5mLug)(2ug) + dextrose monohydrate 127g(Augug 1087.5mLug)(2ug) + magnesium chloride hexahydrate 0.152g(Augug 1087.5mLug)(2ug) + sodium bicarbonate 6.292g(Bugug 1912.5mLug)(2ug) + sodium chloride 16.12g(Bugug 1912.5mLug)(2ug) + sodium lactate 60% 8.4g(Bugug 1912.5mLug)(2ug)
665800BIS,calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 0.551g(Augug 1087.5mLug)(2ug) + dextrose monohydrate 45g(Augug 1087.5mLug)(2ug) + magnesium chloride hexahydrate 0.152g(Augug 1087.5mLug)(2ug) + sodium bicarbonate 6.292g(Bugug 1912.5mLug)(2ug) + sodium chloride 16.12g(Bugug 1912.5mLug)(2ug) + sodium lactate 60% 8.4g(Bugug 1912.5mLug)(2ug)
665900BIS,calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 0.551g(Augug 1087.5mLug)(2ug) + dextrose monohydrate 75g(Augug 1087.5mLug)(2ug) + magnesium chloride hexahydrate 0.152g(Augug 1087.5mLug)(2ug) + sodium bicarbonate 6.292g(Bugug 1912.5mLug)(2ug) + sodium chloride 16.12g(Bugug 1912.5mLug)(2ug) + sodium lactate 60% 8.4g(Bugug 1912.5mLug)(2ug)
510700BIS,calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 0.368g + dextrose monohydrate 50g + magnesium chloride hexahydrate 0.102g + sodium bicarbonate 4.2g + sodium chloride 10.76g + sodium lactate 60% 4.2g
510800BIS,calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 0.368g + dextrose monohydrate 85g + magnesium chloride hexahydrate 0.102g + sodium bicarbonate 4.2g + sodium chloride 10.76g + sodium lactate 60% 4.2g
511000BIS,calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 0.368g + dextrose monohydrate 30g + magnesium chloride hexahydrate 0.102g + sodium bicarbonate 4.2g + sodium chloride 10.76g + sodium lactate 60% 4.2g
431100BIS,"calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate	calcium chloride dihydrate 0.368g(Augug 725mLug)(2ug) + dextrose monohydrate 30g(Augug 725mLug)(2ug) + magnesium chloride hexahydrate 0.102g(Augug 725mLug)(2ug) + sodium bicarbonate 4.2g(Bugug 1,275mLug)(2ug) + sodium chloride 10.75g(Bugug 1,275mLug)(2ug) + sodium lactate 50% 6.7g(Bugug 1,275mLug)(2ug)""",
431200BIS,"calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate	calcium chloride dihydrate 0.368g(Augug 725mLug)(2ug) + dextrose monohydrate 50g(Augug 725mLug)(2ug) + magnesium chloride hexahydrate 0.102g(Augug 725mLug)(2ug) + sodium bicarbonate 4.2g(Bugug 1,275mLug)(2ug) + sodium chloride 10.75g(Bugug 1,275mLug)(2ug) + sodium lactate 50% 6.7g(Bugug 1,275mLug)(2ug)""",
431300BIS,"calcium chloride dihydrate + dextrose monohydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate	calcium chloride dihydrate 0.368g(Augug 725mLug)(2ug) + dextrose monohydrate 85g(Augug 725mLug)(2ug) + magnesium chloride hexahydrate 0.102g(Augug 725mLug)(2ug) + sodium bicarbonate 4.2g(Bugug 1,275mLug)(2ug) + sodium chloride 10.75g(Bugug 1,275mLug)(2ug) + sodium lactate 50% 6.7g(Bugug 1,275mLug)(2ug)""",
659300BIS,calcium chloride dihydrate + dextrose monohydrate + S-lactic acid + magnesium chloride hexahydrate + potassium chloride + sodium bicarbonate + sodium chloride,calcium chloride dihydrate 1.28625g(Augug 250mLug) + dextrose monohydrate 6.05g(Augug 250mLug) + S-lactic acid 1.35g(Augug 250mLug) + magnesium chloride hexahydrate 0.50825g(Augug 250mLug) + potassium chloride 0.74575g(Bugug 4750mLug) + sodium bicarbonate 14.6775g(Bugug 4750mLug) + sodium chloride 30.6375g(Bugug 4750mLug)
659400BIS,calcium chloride dihydrate + dextrose monohydrate + S-lactic acid + magnesium chloride hexahydrate + potassium chloride + sodium bicarbonate + sodium chloride,calcium chloride dihydrate 1.28625g(Augug 250mLug) + dextrose monohydrate 6.05g(Augug 250mLug) + S-lactic acid 1.35g(Augug 250mLug) + magnesium chloride hexahydrate 0.50825g(Augug 250mLug) + potassium chloride 1.4915g(Bugug 4750mLug) + sodium bicarbonate 14.6775g(Bugug 4750mLug) + sodium chloride 30.6375g(Bugug 4750mLug)
504600BIJ,calcium chloride dihydrate + hydroxyethyl starch + magnesium chloride hexahydrate + malic acid + potassium chloride + sodium acetate trihydrate + sodium chloride,calcium chloride dihydrate 0.185g(0.37mg/mL) + hydroxyethyl starch 30g(60mg/mL) + magnesium chloride hexahydrate 0.1g(0.2mg/mL) + malic acid 0.335g(0.67mg/mL) + potassium chloride 0.15g(0.3mg/mL) + sodium acetate trihydrate 1.635g(3.27mg/mL) + sodium chloride 3.125g(6.25mg/mL)
429900BIS,calcium chloride dihydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride + sodium lactate,calcium chloride dihydrate 1.285g(0.257mg/mL) + magnesium chloride hexahydrate 0.515g(0.103mg/mL) + sodium bicarbonate 13.45g(2.69mg/mL) + sodium chloride 30.7g(6.14mg/mL) + sodium lactate 1.68g(0.336mg/mL)
644300BIJ,calcium chloride dihydrate + magnesium chloride hexahydrate + sodium chloride + sodium bicarbonate + potassium chloride + disodium phosphate dihydrate,calcium chloride dihydrate 0.92g(Augug 250mLug) + magnesium chloride hexahydrate 0.61g(Augug 250mLug) + sodium chloride 30.59g(Bugug 4750mLug) + sodium bicarbonate 13.87g(Bugug 4750mLug) + potassium chloride 1.4915g(Bugug 4750mLug) + disodium phosphate dihydrate 1.06875g(Bugug 4750mLug)
122101ATB,calcium citrate,calcium citrate 950mg
462700ATB,calcium citrate + cholecalciferol,calcium citrate (as calcium 0.158g) + cholecalciferol (vitamin D3 400I.U)
462800ATB,calcium citrate + cholecalciferol,calcium citrate(as calcium 316mg) 1500mg + cholecalciferol(vitamin D3 800IU) 20ug
504400ATB,calcium citrate + cholecalciferol concentrate powder,calcium citrate(as calcium 358.28mg) 1700mg + cholecalciferol concentrate powder (as vitamin D 1000IU) 10mg
508700ATB,calcium citrate + cholecalciferol concentrated powder,calcium citrate (as calcium 0.17914g) + cholecalciferol concentrated powder (as vitamin D 500I.U)
519000ATB,calcium citrate + cholecalciferol concentrated powder,calcium citrate (as calcium 0.316g) + cholecalciferol concentrated powder (as vitamin D 1KI.U)
665600ATB,calcium citrate + cholecalciferol concentrated powder,calcium citrate (as calcium 0.10112g) + cholecalciferol concentrated powder (as vitamin D 1KI.U)
503500ATB,calcium citrate + cholecalciferol granule,calcium citrate(as calcium 197.54mg) 937.5mg + cholecalciferol granule(as vitamin D 500IU) 5mg
503100ATB,calcium citrate + cholecalciferol granule + cyanocobalamin + folic acid,calcium citrate (as calcium 0.24g) + cholecalciferol granule (as vitamin D 400I.U) + cyanocobalamin 0.5mg + folic acid 0.25mg
182501ATB,calcium folinate,calcium folinate (as folinate 15mg)
182503ATB,calcium folinate,calcium folinate (as folinate 5mg)
182530BIJ,calcium folinate,calcium folinate (as folinate 3mg(3mg/mL))
182532BIJ,calcium folinate,calcium folinate (as folinate 15mg(7.5mg/mL))
182533BIJ,calcium folinate,calcium folinate (as folinate 30mg(15mg/mL))
182534BIJ,calcium folinate,calcium folinate (as folinate 50mg(10mg/mL))
182535BIJ,calcium folinate,calcium folinate (as folinate 0.1g(10mg/mL))
182536BIJ,calcium folinate,calcium folinate (as folinate 0.2g(10mg/mL))
182539BIJ,calcium folinate,calcium folinate (as folinate 0.5g(10mg/mL))
533700ALQ,calcium folinate + sodium ferric gluconate complex,calcium folinate 0.3mg(37.5ug/mL) + sodium ferric gluconate complex (as Fe III 62.5mg(7.8125mg/mL))
303800ALQ,calcium folinate + sodium ferric gluconate complex,calcium folinate 37.5ug + sodium ferric gluconate complex 22.19mg
334000COS,calcium formate + rubidium iodide + sodium ascorbate + sodium iodide + thiamine hydrochloride,calcium formate 5mg(Bugug) + rubidium iodide 8mg(Bugug) + sodium ascorbate 2.25mg(Augug) + sodium iodide 12mg(Bugug) + thiamine hydrochloride 2.5mg(Augug)
208131AGN,calcium p-aminosalicylate,calcium p-aminosalicylate 2.64g(0.8g/g)
208101AGN,calcium p-aminosalicylate,calcium p-aminosalicylate 800mg
122301ATB,calcium polycarbophil,calcium polycarbophil 0.625g
122501ATB,camostat mesilate,camostat mesilate 0.1g
122502ATB,camostat mesilate,camostat mesilate 0.2g
122601ATB,candesartan cilexetil,candesartan cilexetil 8mg
122602ATB,candesartan cilexetil,candesartan cilexetil 16mg
423700ATB,candesartan cilexetil + hydrochlorothiazide,candesartan cilexetil 16mg + hydrochlorothiazide 12.5mg
661800ATB,candesartan cilexetil + rosuvastatin calcium,candesartan cilexetil 8mg + rosuvastatin calcium (as rosuvastatin 5mg)
661900ATB,candesartan cilexetil + rosuvastatin calcium,candesartan cilexetil 8mg + rosuvastatin calcium (as rosuvastatin 10mg)
662000ATB,candesartan cilexetil + rosuvastatin calcium,candesartan cilexetil 16mg + rosuvastatin calcium (as rosuvastatin 10mg)
662100ATB,candesartan cilexetil + rosuvastatin calcium,candesartan cilexetil 32mg + rosuvastatin calcium (as rosuvastatin 20mg)
122701ATB,capecitabine,capecitabine 0.15g
122702ATB,capecitabine,capecitabine 0.5g
122831COM,capsaicin,capsaicin 5mg(0.25mg/g)
122832COM,capsaicin,capsaicin 15mg(0.75mg/g)
122801COM,capsaicin,capsaicin 250ug
122901ATB,captopril,captopril 12.5mg
122902ATB,captopril,captopril 25mg
122903ATB,captopril,captopril 50mg
262300ATB,captopril + hydrochlorothiazide,captopril 50mg + hydrochlorothiazide 25mg
262200ATB,captopril + hydrochlorothiazide,captopril 25mg + hydrochlorothiazide 12.5mg
123030BIJ,carbachol,carbachol 0.15mg(0.1mg/mL)
123102ATR,carbamazepine,carbamazepine 0.2g
123130ASY,carbamazepine,carbamazepine 2g(20mg/mL)
123103ASY,carbamazepine,carbamazepine 20mg
256500ATR,carbidopa hydrate + levodopa,carbidopa hydrate (as carbidopa 50mg) + levodopa 0.2g
468300ATB,carbidopa monohydrate + entacapone + levodopa,carbidopa monohydrate (as carbidopa 25mg) + entacapone 0.2g + levodopa 0.1g
468400ATB,carbidopa monohydrate + entacapone + levodopa,carbidopa monohydrate (as carbidopa 12.5mg) + entacapone 0.2g + levodopa 50mg
468900ATB,carbidopa monohydrate + entacapone + levodopa,carbidopa monohydrate (as carbidopa 37.5mg) + entacapone 0.2g + levodopa 0.15g
499900ATB,carbidopa monohydrate + entacapone + levodopa,carbidopa monohydrate (as carbidopa 50mg) + entacapone 0.2g + levodopa 0.2g
507200ATB,carbidopa monohydrate + entacapone + levodopa,carbidopa monohydrate (as carbidopa 18.75mg) + entacapone 0.2g + levodopa 75mg
507300ATB,carbidopa monohydrate + entacapone + levodopa,carbidopa monohydrate (as carbidopa 31.25mg) + entacapone 0.2g + levodopa 0.125g
471501ATB,carbimazole,carbimazole 5mg
471502ATB,carbimazole,carbimazole 10mg
471503ATB,carbimazole,carbimazole 20mg
123730BIJ,carboplatin,carboplatin 50mg(10mg/mL)
123731BIJ,carboplatin,carboplatin 0.15g(10mg/mL)
123732BIJ,carboplatin,carboplatin 0.45g(10mg/mL)
123733BIJ,carboplatin,carboplatin 0.55g(10mg/mL)
123734BIJ,carboplatin,carboplatin 0.6g(10mg/mL)
123735BIJ,carboplatin,carboplatin 0.65g(10mg/mL)
123701BIJ,carboplatin,carboplatin 150mg
123702BIJ,carboplatin,carboplatin 450mg
123703BIJ,carboplatin,carboplatin 50mg
123704BIJ,carboplatin,carboplatin 600mg
123707BIJ,carboplatin,carboplatin 550mg
123708BIJ,carboplatin,carboplatin 650mg
228632COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 2mg(5mg/mL)
228633COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 2.5mg(5mg/mL)
228634COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 3mg(5mg/mL)
228636COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 4mg(5mg/mL)
228637COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 4.4mg(5mg/mL)
228638COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 4.5mg(5mg/mL)
228639COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 4.75mg(5mg/mL)
228640COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 5mg(5mg/mL)
228643COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 75mg(5mg/mL)
228645COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 50mg(5mg/mL)
228647COS,carboxymethyl cellulose sodium,carboxymethyl cellulose sodium 1.75mg(5mg/mL)
123802ATB,carboxymethylcysteine-s,carboxymethylcysteine-s 150mg
123803ASY,carboxymethylcysteine-s,carboxymethylcysteine-s 20mg
123804ATB,carboxymethylcysteine-s,carboxymethylcysteine-s 375mg
123805ASY,carboxymethylcysteine-s,carboxymethylcysteine-s 50mg
123902ASY,carduus marianus ext.,carduus marianus ext. 13.8mg
647801BIJ,carfilzomib,carfilzomib 60mg
647802BIJ,carfilzomib,carfilzomib 30mg
618401ATD,carglumic acid,carglumic acid 0.2g
124501BIJ,carnitine,carnitine(l) 1000mg
124502ALQ,carnitine,carnitine(l) 300mg
124802COS,carteolol HCl,carteolol HCl 10mg
124803COS,carteolol HCl,carteolol HCl 20mg
124806COS,carteolol HCl,carteolol HCl 10mg/ug
124807COS,carteolol HCl,carteolol HCl 20mg/ug
124801ATB,carteolol hydrochloride,carteolol hydrochloride 5mg
124830COS,carteolol hydrochloride,carteolol hydrochloride 25mg(10mg/mL)
124832COS,carteolol hydrochloride,carteolol hydrochloride 50mg(20mg/mL)
124833COS,carteolol hydrochloride,carteolol hydrochloride 0.1g(20mg/mL)
125001ATB,carvedilol,carvedilol 12.5mg
125002ATB,carvedilol,carvedilol 25mg
125005ATB,carvedilol,carvedilol 3.125mg
125004ATR,carvedilol,carvedilol 64mg
125006ATR,carvedilol,carvedilol 32mg
125007ATR,carvedilol,carvedilol 16mg
125008ATR,carvedilol,carvedilol 8mg
440001BIJ,caspofungin acetate,caspofungin acetate (as caspofungin 50mg)
440002BIJ,caspofungin acetate,caspofungin acetate (as caspofungin 70mg)
125202ASY,cefaclor,cefaclor 25mg
125209AGN,cefaclor,cefaclor 125mg
125201ATB,cefaclor hydrate,cefaclor hydrate 0.25g
125204ATR,cefaclor hydrate,cefaclor hydrate 0.375g
125235ASY,cefaclor hydrate,cefaclor hydrate 2.5g(25mg/mL)
125237ASY,cefaclor hydrate,cefaclor hydrate 3.75g(25mg/mL)
125238ASY,cefaclor hydrate,cefaclor hydrate 5g(25mg/mL)
125239ASY,cefaclor hydrate,cefaclor hydrate 11.25g(25mg/mL)
125332ASY,cefadroxil,cefadroxil 7.5g(50mg/mL)
125333ASY,cefadroxil,cefadroxil 11.75g(25mg/mL)
125334ASY,cefadroxil,cefadroxil 23.5g(50mg/mL)
125302ATB,cefadroxil,cefadroxil 250mg
125303ASY,cefadroxil,cefadroxil 25mg
125305ASY,cefadroxil,cefadroxil 50mg
125304ATB,cefadroxil hydrate,cefadroxil hydrate 0.5g
125401BIJ,cefamandole nafate,cefamandole nafate 1g
125602ASY,cefatrizine propylene glycol,cefatrizine propylene glycol 50mg
125701BIJ,cefazolin sodium,cefazolin sodium 1g
125703BIJ,cefazolin sodium,cefazolin sodium 2g
125704BIJ,cefazolin sodium,cefazolin sodium 0.5g
125801BIJ,cefbuperazone sodium,cefbuperazone sodium 1g
125802BIJ,cefbuperazone sodium,cefbuperazone sodium 0.5g
474402AGN,cefcapene pivoxil HCl,cefcapene pivoxil HCl 100mg
474401ATB,cefcapene pivoxil hydrochloride hydrate,cefcapene pivoxil hydrochloride hydrate 75mg
474402ATB,cefcapene pivoxil hydrochloride hydrate,cefcapene pivoxil hydrochloride hydrate 0.1g
125901ATB,cefdinir,cefdinir 0.1g
125931AGN,cefdinir,cefdinir 10g(0.1g/g)
125901AGN,cefdinir,cefdinir 100mg
126001ATB,cefditoren pivoxil,cefditoren pivoxil 0.1g
126031AGN,cefditoren pivoxil,cefditoren pivoxil 10g(0.1g/g)
126001AGN,cefditoren pivoxil,cefditoren pivoxil 100mg
126101BIJ,cefepime hydrochloride hydrate,cefepime hydrochloride hydrate 1g
126103BIJ,cefepime hydrochloride hydrate,cefepime hydrochloride hydrate 0.5g
800001BIJ,cefepime hydrochloride hydrate·L-arginine,cefepime hydrochloride hydrate·L-arginine(as cefepime hydrochloride 1g)
126201ATB,cefetamet pivoxil hydrochloride,cefetamet pivoxil hydrochloride 0.5g
126302AGN,cefixime,cefixime 50mg
126301ATB,cefixime hydrate,cefixime hydrate 0.1g
126334AGN,cefixime hydrate,cefixime hydrate 5g(50mg/g)
126403BIJ,cefmenoxime HCl,cefmenoxime HCl 500mg
126404CLQ,cefmenoxime HCl,cefmenoxime HCl 10mg
126501BIJ,cefmetazole sodium,cefmetazole sodium 1g
126502BIJ,cefmetazole sodium,cefmetazole sodium 0.5g
126503BIJ,cefmetazole sodium,cefmetazole sodium 2g
468100BIJ,cefmetazole sodium + sodium chloride,cefmetazole sodium 1g(ugugug) + sodium chloride(0.9%) 0.9g(9mg/mL)(100mLug)
126601BIJ,cefminox sodium,cefminox sodium 1g
126602BIJ,cefminox sodium,cefminox sodium 500mg
126701BIJ,cefodizime sodium,cefodizime sodium 1g
126801BIJ,cefonicid sodium,cefonicid sodium 1g
126901BIJ,cefoperazone sodium,cefoperazone sodium 1g
463100BIJ,cefoperazone sodium + sodium chloride + sulbactam sodium,cefoperazone sodium 0.5g(ugugug) + sodium chloride(0.9%) 0.9g(9mg/mL)(100mLug) + sulbactam sodium 0.5g(ugugug)
329900BIJ,cefoperazone sodium + sulbactam sodium,cefoperazone sodium 0.5g + sulbactam sodium 0.5g
127101BIJ,cefotaxime sodium,cefotaxime sodium 1g
127102BIJ,cefotaxime sodium,cefotaxime sodium 2g
127103BIJ,cefotaxime sodium,cefotaxime sodium 0.5g
127201BIJ,cefotetan disodium,cefotetan disodium (as cefotetan 1g)
127203BIJ,cefotetan disodium,cefotetan disodium 500mg
482900BIJ,cefotetan disodium + sodium chloride,cefotetan disodium 1g + sodium chloride(0.9%) 0.9g(9mg/mL)
127402ATB,cefotiam hexetyl HCl,cefotiam hexetyl HCl 200mg
127301BIJ,cefotiam hydrochloride,cefotiam hydrochloride 1g
127302BIJ,cefotiam hydrochloride,cefotiam hydrochloride 0.5g
465400BIJ,cefotiam hydrochloride + sodium chloride,cefotiam hydrochloride 1g(ugugug) + sodium chloride(0.9%) 0.9g(9mg/mL)(100mLug)
127501BIJ,cefoxitin sodium,cefoxitin sodium 1g
127702BIJ,cefpiramide sodium,cefpiramide sodium 0.5g
127701BIJ,cefpiramide sodium,cefpiramide sodium 1g
127801BIJ,cefpirome sulfate,cefpirome sulfate 1g
127901ATB,cefpodoxime proxetil,cefpodoxime proxetil 0.1g
127930ASY,cefpodoxime proxetil,cefpodoxime proxetil 0.5g(10mg/mL)
127931ASY,cefpodoxime proxetil,cefpodoxime proxetil 2g(10mg/mL)
127932ASY,cefpodoxime proxetil,cefpodoxime proxetil 5g(10mg/mL)
127903ASY,cefpodoxime proxetil,cefpodoxime proxetil 10mg
128030ASY,cefprozil,cefprozil 1.5g(25mg/mL)
128031ASY,cefprozil,cefprozil 2.5g(25mg/mL)
128032ASY,cefprozil,cefprozil 3.75g(25mg/mL)
128002ASY,cefprozil,cefprozil 25mg
128001ATB,cefprozil hydrate,cefprozil hydrate 0.25g
130102BIJ,cefradine,cefradine 1g
130101ATB,cefradine hydrate,cefradine hydrate 0.25g
130105ATB,cefradine hydrate,cefradine hydrate 0.5g
130138ASY,cefradine hydrate,cefradine hydrate 11.25g(25mg/mL)
128101ATB,cefroxadine,cefroxadine 0.25g
128302BIJ,ceftazidime,ceftazidime 500mg
128301BIJ,ceftazidime hydrate,ceftazidime hydrate 1g
128303BIJ,ceftazidime hydrate,ceftazidime hydrate 2g
128401AGN,cefteram pivoxil,cefteram pivoxil 100mg
128502BIJ,ceftezole sodium,ceftezole sodium 2g
128501BIJ,ceftezole sodium,ceftezole sodium 1g
128503BIJ,ceftezole sodium,ceftezole sodium 500mg
128602ATB,ceftibuten,ceftibuten 0.2g
128601ASY,ceftibuten,ceftibuten 18mg
128701BIJ,ceftizoxime sodium,ceftizoxime sodium 1g
128702BIJ,ceftizoxime sodium,ceftizoxime sodium 500mg
468200BIJ,ceftriaxone sodium + sodium chloride,ceftriaxone sodium 1g(ugugug) + sodium chloride(0.9%) 0.9g(9mg/mL)(100mLug)
478500BIJ,ceftriaxone sodium + sodium chloride,ceftriaxone sodium 2g(ugugug) + sodium chloride(0.9%) 0.9g(9mg/mL)(100mLug)
128801BIJ,ceftriaxone sodium hydrate,ceftriaxone sodium hydrate 1g
128802BIJ,ceftriaxone sodium hydrate,ceftriaxone sodium hydrate 0.25g
128803BIJ,ceftriaxone sodium hydrate,ceftriaxone sodium hydrate 2g
128804BIJ,ceftriaxone sodium hydrate,ceftriaxone sodium hydrate 0.5g
128805BIJ,ceftriaxone sodium hydrate,ceftriaxone sodium hydrate 1.5g
128903ATB,cefuroxime axetil,cefuroxime axetil (as cefuroxime 0.25g)
128931ASY,cefuroxime axetil,cefuroxime axetil (as cefuroxim 1.25g(25mg/mL))
128902ASY,cefuroxime axetil,cefuroxime axetil(as cefuroxim 25mg) 30mg
129001BIJ,cefuroxime sodium,cefuroxime sodium 1.5g
129002BIJ,cefuroxime sodium,cefuroxime sodium 0.25g
129003BIJ,cefuroxime sodium,cefuroxime sodium 0.75g
347701ATB,celecoxib,celecoxib 0.2g
347702ATB,celecoxib,celecoxib 0.1g
129101ATB,celiprolol hydrochloride,celiprolol hydrochloride 0.2g
129402ATB,cephalexin,cephalexin 0.5g
129701BIJ,cephalothin sodium,cephalothin sodium 1g
130001BIJ,cephazedone sodium,cephazedone sodium 1g
130003BIJ,cephazedone sodium,cephazedone sodium 0.5g
130103ASY,cephradine,cephradine 25mg
130106ASY,cephradine,cephradine 50mg
130231BIJ,cerebrolysin concentrate,cerebrolysin concentrate 2.152g(0.2152mg/mL)
634401ATB,ceritinib,ceritinib 0.15g
130501ATB,cetirizine dihydrochloride,cetirizine dihydrochloride 10mg
259900ATB,cetirizine dihydrochloride + pseudoephedrine hydrochloride,cetirizine dihydrochloride 5mg + pseudoephedrine hydrochloride 0.12g
130601ATB,cetraxate HCl,cetraxate HCl 200mg
556430BIJ,cetuximab,cetuximab 0.1g(5mg/mL)
556401BIJ,cetuximab,cetuximab 100mg
130830ASY,chloral hydrate,chloral hydrate 9.5g(0.1g/mL)
130801ASY,chloral hydrate,chloral hydrate 100mg
130901ATB,chlorambucil,chlorambucil 2mg
131030COS,chloramphenicol,chloramphenicol 50mg(5mg/mL)
333400COS,chloramphenicol + dexamethasone sodium phosphate + tetrahydrozoline HCl,chloramphenicol 5mg + dexamethasone sodium phosphate 1mg + tetrahydrozoline HCl 250ug
131101BIJ,chloramphenicol sodium succinate,chloramphenicol sodium succinate 1g
255800ATB,chlordiazepoxide + clidinium bromide,chlordiazepoxide 5mg + clidinium bromide 2.5mg
131201ATB,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride 10mg
131202ATB,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride 5mg
131307CLQ,chlorhexidine gluconate,chlorhexidine gluconate 1.2mg(0.006ml)
131331CLQ,chlorhexidine gluconate solution,chlorhexidine gluconate solution 0.6mL(6ugL/mL)
131332CLQ,chlorhexidine gluconate solution,chlorhexidine gluconate solution 1mL(10ugL/mL)
131333CLQ,chlorhexidine gluconate solution,chlorhexidine gluconate solution 1.2mL(10ugL/mL)
131341CLQ,chlorhexidine gluconate solution,chlorhexidine gluconate solution 0.09mL(6ugL/mL)
131342CLQ,chlorhexidine gluconate solution,chlorhexidine gluconate solution 1.5mL(6ugL/mL)
131302CLQ,chlorhexidine gluconate solution,chlorhexidine gluconate solution 0.01ml
131402ATR,chlormadinone acetate,chlormadinone acetate 50mg
171602ATB,chloroquine phos.,chloroquine phos. 250mg
131701ATB,chlorphenesin carbamate,chlorphenesin carbamate 0.125g
131702ATB,chlorphenesin carbamate,chlorphenesin carbamate 0.25g
131801ATB,chlorpheniramine maleate,chlorpheniramine maleate 2mg
131830BIJ,chlorpheniramine maleate,chlorpheniramine maleate 4mg(2mg/mL)
