GNL_CD	GEN_SHORT	GEN_LONG	Med_Name_x	Med_Name_y	Type_for_4CE_Analysis	Med_Class	Class_Name	ATC_Code	Parent_RxNorm	ACT_RxNorm_List	ACT_Path	ACT_NDC_List
524100ATB	atorvastatin calcium + irbesartan	atorvastatin calcium (as atorvastatin 20mg) + irbesartan 0.15g	irbesartan	irbesartan	Tracked Drugs	ARB	Angiotensin II receptor blockers (ARBs), plain	C09CA04	83818.0	RxNorm:83818,153665,153666,153667,200094,200095,200096,370704	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\IPreparations\83818\	NDC:00024585030,00024585090,00024585130,00024585190,00024585230,00024585290,00054025013,00054025022,00054025113,00054025122,00054025129,00054025213,00054025222,00054025229,00087277115,00087277131,00087277132,00087277135,00087277191,00087277215,00087277231,00087277232,00087277235,00087277294,00087277315,00087277331,00087277332,00087277335,00087277394,00093746456,00093746498,00093746505,00093746556,00093746598,00093746605,00093746656,00093746698,00093751405,00093751456,00093751498,00378202205,00378202277,00378202305,00378202377,00378202393,00378202405,00378202477,00378202493,00591278219,00591278230,00591278319,00591278330,00591278419,00591278430,00603408002,00603408016,00603408028,00603408032,00603408102,00603408116,00603408128,00603408132,00603408202,00603408216,00603408228,00603408232,00955104030,00955104090,00955104105,00955104130,00955104190,00955104205,00955104230,00955104290,12280006330,12280006390,12280036930,12280036990,13411010601,13411010603,13411010606,13411010609,13411010615,13411010701,13411010703,13411010706,13411010709,13411010715,26053017401,26053017501,27241003303,27241003309,27241003510,27241003610,29300021205,29300021213,29300021219,29300021305,29300021313,29300021319,29300021405,29300021413,29300021419,31722016005,31722016110,31722016205,31722072905,31722072930,31722072931,31722072990,31722073005,31722073030,31722073031,31722073090,31722073105,31722073130,31722073131,31722073190,33342004707,33342004710,33342004712,33342004715,33342004807,33342004810,33342004812,33342004815,33342004907,33342004910,33342004915,33342004939,35356013130,35356042830,35356085430,42291035530,42291035590,42291035630,42291035690,42291035730,42291035790,42658012101,42658012104,42658012201,42658012204,42658012207,42658012301,42658012304,42658012307,43547027703,43547027709,43547027750,43547027803,43547027809,43547027850,43547027903,43547027909,43547027950,43547037403,43547037409,43547037450,43547037503,43547037509,43547037550,43547037603,43547037609,43547037650,46708043930,46708043931,46708043971,46708043990,46708043991,46708044030,46708044031,46708044071,46708044090,46708044091,46708044130,46708044131,46708044171,46708044190,46708044191,50090128400,50090161300,50090201700,50090264200,50090297800,50090324400,50090324401,50090326900,50090326902,50090343101,50228016005,50228016030,50228016110,50228016130,50228016205,50228016230,50268044011,50268044015,50268044111,50268044115,50268044211,50268044215,50436465203,51129133901,51129157101,51129157201,51129411701,51129411702,51138021730,51138021760,51138021830,51138021860,51138021930,51138021960,54569457200,54569489500,54569586700,54569630900,54569656400,54868419900,54868419901,54868419902,54868441400,54868441401,54868441402,55154202600,55887010230,55887010330,55887010530,57297041006,57297041009,57297041102,57297041106,57297041109,57297041202,57297041206,57297041209,58016054200,58016054230,58864072615,58864072630,58864077115,59746044705,59746044730,59746044790,59746044805,59746044830,59746044890,59746044905,59746044930,59746044990,60429064005,60429064030,60429064090,60429064105,60429064130,60429064190,60429064205,60429064230,60429064290,60505354703,60505354709,60505354803,60505354805,60505354808,60505354809,60505354903,60505354905,60505354909,61392088631,61392088639,62301006969,62332004130,62332004131,62332004171,62332004190,62332004191,62332004230,62332004231,62332004271,62332004290,62332004291,62332004330,62332004331,62332004371,62332004390,62332004391,62584043550,63187063030,63187063060,63187063090,63187073710,63187073730,63187073760,63187073790,63187075730,63187075760,63187075790,63629337301,63629337302,63629337303,63629337304,63629415901,63629524101,63629524102,63629543101,63629543102,63629543103,63874064710,63874064714,63874064730,64980038503,64980038509,64980038603,64980038609,64980038703,64980038709,65162028403,65162028409,65162028450,65162028503,65162028509,65162028511,65162028550,65162028603,65162028609,65162028611,65162028650,65862063705,65862063710,65862063730,65862063778,65862063790,65862063805,65862063810,65862063830,65862063878,65862063890,65862063905,65862063910,65862063930,65862063978,65862063990,66105050301,66105050303,66105050306,66105050309,66105050310,66105050315,66105050401,66105050403,66105050406,66105050409,66105050415,66105078823,67544040045,68084000711,68084000721,68084021711,68084021721,68084064411,68084064421,68151356909,68180041006,68180041009,68180041102,68180041106,68180041109,68180041202,68180041206,68180041209,68258606603,68258606606,68258607709,68382029905,68382029906,68382029910,68382029916,68382029930,68382029977,68382030005,68382030006,68382030010,68382030016,68382030030,68382030077,68382030105,68382030106,68382030110,68382030116,68382030130,68382030177,68645040470,69367011901,69367011903,69367012001,69367012003,69367012101,69367012103,70518132800,70518132900,70518154300,70771115900,70771115902,70771115903,70771115904,70771115905,70771115909,70771116000,70771116002,70771116003,70771116004,70771116005,70771116009,70771116100,70771116102,70771116103,70771116104,70771116105,70771116109,71205008230,71205008260,71205008290,71335007101,71335007102,71335007103,71335042301,71335042302,71335042303
502204ATB	atorvastatin strontium pentahydrat	atorvastatin strontium pentahydrat (as atorvastatin 80mg)										
502203ATB	atorvastatin strontium pentahydrat	atorvastatin strontium pentahydrat (as atorvastatin 40mg)										
502202ATB	atorvastatin strontium pentahydrat	atorvastatin strontium pentahydrat (as atorvastatin 20mg)										
502201ATB	atorvastatin strontium pentahydrat	atorvastatin strontium pentahydrat (as atorvastatin 10mg)										
473431BIJ	atosiban	atosiban 37.5mg(7.5mg/mL)										
473430BIJ	atosiban	atosiban 6.75mg(7.5mg/mL)										
439000ATB	atovaquone + proguanil hydrochloride	atovaquone 0.25g + proguanil hydrochloride 0.1g										
111833COS	atropine sulfate	atropine sulfate 0.15g(10mg/mL)										
111831BIJ	atropine sulfate	atropine sulfate 10mg(0.5mg/mL)										
111802BIJ	atropine sulfate	atropine sulfate 500ug										
111830BIJ	atropine sulfate	atropine sulfate 0.5mg(0.5mg/mL)										
617901BIJ	autologus adipose-derived mesenchymal stem cell	autologus adipose-derived mesenchymal stem cell 3ug10^7ug(3ug10^7ug/mL)										
418801BIJ	autologus chondrocyte	autologus chondrocyte 1200ugugugug										
112201ATB	avocado soya unsaponifiables	avocado soya unsaponifiables 0.3g										
484301BIJ	azacitidine	azacitidine 100mg										
112401ATB	azathioprine	azathioprine 50mg										
112501ATB	azelastine	azelastine 1mg										
112502CLQ	azelastine HCl	azelastine HCl 10mg										
112503COS	azelastine HCl	azelastine HCl 0.5mg/ml										
112532COS	azelastine hydrochloride	azelastine hydrochloride 3mg(0.5mg/mL)										
112533CLQ	azelastine hydrochloride	azelastine hydrochloride 10mg(1mg/mL)										
662403ATB	azilsartan medoxomil potassium	azilsartan medoxomil potassium (as azilsartan medoxomil 40mg)										
662402ATB	azilsartan medoxomil potassium	azilsartan medoxomil potassium (as azilsartan medoxomil 80mg)										
662401ATB	azilsartan medoxomil potassium	azilsartan medoxomil potassium (as azilsartan medoxomil 20mg)										
112701ATB	azithromycin	azithromycin 0.25g										
112705ATB	azithromycin	azithromycin 0.5g										
112732ASY	azithromycin	azithromycin 0.6g(40mg/mL)										
112702ASY	azithromycin	azithromycin 40mg										
112901ATB	azosemide	azosemide 60mg										
113001BIJ	aztreonam	aztreonam 1g										
113101ATB	bacampicillin HCl	bacampicillin HCl 400mg										
113201ATB	bacillus licheniformis	bacillus licheniformis 0.25g										
113231AGN	bacillus licheniformis	bacillus licheniformis 37.5g(0.25g/g)										
113232AGN	bacillus licheniformis	bacillus licheniformis 75g(0.25g/g)										
113201AGN	bacillus licheniformis	bacillus licheniformis 250mg										
473501AGN	bacillus subtilis·streptococcus faecium	bacillus subtilis·streptococcus faecium(streptococcus faecium 2.25ugugug + bacillus subtilis 0.25ugugug) 62.5mg										
473533AGN	"bacillus subtilis·streptococcus faecium	bacillus subtilis·streptococcus faecium(streptococcus faecium 2.25ugugug,bacillus subtilis 0.25ugugug) 31.25g(62.5mg/g)"""											
473502ATE	"bacillus subtilis·streptococcus faecium	bacillus subtilis·streptococcus faecium(streptococcus faecium 4.5ugugug,bacillus subtilis 0.5ugugug) 0.125g"""											
473503ATE	"bacillus subtilis·streptococcus faecium	bacillus subtilis·streptococcus faecium(streptococcus faecium 9ugugug,bacillus subtilis 1ugugug) 0.25g"""											
113502ATB	baclofen	baclofen 20mg										
113503ATB	baclofen	baclofen 25mg										
113501ATB	baclofen	baclofen 10mg										
487401ATB	bacteria culture of Lactobacillus rhamnosus R	bacteria culture of Lactobacillus rhamnosus R0011 and Lactobacillus helveticus R0052 20mg										
428901ATB	balofloxacin	balofloxacin 0.1g										
475001ATB	balsalazide disodium dihydrate	balsalazide disodium dihydrate 0.75g										
113601ATB	bambuterol hydrochloride	bambuterol hydrochloride 10mg										
113801ATB	bamiphylline hydrochloride	bamiphylline hydrochloride 0.3g										
113913ASY	barium sulfate	barium sulfate 300mg										
113918ASY	barium sulfate	barium sulfate 1mg										
113910AGN	barium sulfate	barium sulfate 960mg										
113912AGN	barium sulfate	barium sulfate 984.12mg										
113930ASY	barium sulfate	barium sulfate 0.45g(1mg/mL)										
113932ASY	barium sulfate	barium sulfate 6.75g(15mg/mL)										
113937AGN	barium sulfate	barium sulfate 297g(0.99g/g)										
113938AGN	barium sulfate	barium sulfate 334.6008g(0.98412g/g)										
113941AGN	barium sulfate	barium sulfate 360g(0.96g/g)										
113947AGN	barium sulfate	barium sulfate 3600g(0.96g/g)										
113906ASY	barium sulfate	barium sulfate 15mg										
113914AGN	barium sulfate	barium sulfate 990mg										
113908ASY	barium sulfate	barium sulfate 50mg										
114001ATB	barnidipine hydrochloride	barnidipine hydrochloride 10mg										
114002ATB	barnidipine hydrochloride	barnidipine hydrochloride 15mg										
114003ATB	barnidipine hydrochloride	barnidipine hydrochloride 5mg										
359401BIJ	basiliximab	basiliximab 20mg										
617101ATB	bazedoxifene acetate	bazedoxifene acetate (as bazedoxifene 20mg)										
114511ATE	beclomethasone dipropionate	beclomethasone dipropionate 5mg										
114533CLQ	beclomethasone dipropionate	beclomethasone dipropionate 20mg(0.1mg/ug)										
114507CSI	beclomethasone dipropionate	beclomethasone dipropionate 10mg										
114509CLQ	beclomethasone dipropionate	beclomethasone dipropionate 20mg										
502000CSI	beclomethasone dipropionate + formoterol fumarate	beclomethasone dipropionate 172.41mg + formoterol fumarate 2H2O 10.34mg										
626901ATB	bedaquiline fumarate	bedaquiline fumarate (as bedaquiline 0.1g)										
452801BIJ	belotecan	belotecan(CKD-602) 2mg										
465830BIJ	bemiparin sodium	bemiparin sodium (as Anti Fxa 2.5KI.U AntiXa(12.5KI.U AntiXa/mL))	bemiparin	bemiparin	Tracked Drugs	COAGB	Antithrombotic agents	B01AB12	280611.0	RxNorm:280611,727831,727832,727834,727920,727922,727926,857253,857255,857257,857259,857261	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\BPreparations\280611\	
465831BIJ	bemiparin sodium	bemiparin sodium (as Anti Fxa 3.5KI.U AntiXa(17.5KI.U AntiXa/mL))	bemiparin	bemiparin	Tracked Drugs	COAGB	Antithrombotic agents	B01AB12	280611.0	RxNorm:280611,727831,727832,727834,727920,727922,727926,857253,857255,857257,857259,857261	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\BPreparations\280611\	
465801BIJ	bemiparin sodium	bemiparin sodium(as Anti FXa 2500IU) 25mg	bemiparin	bemiparin	Tracked Drugs	COAGB	Antithrombotic agents	B01AB12	280611.0	RxNorm:280611,727831,727832,727834,727920,727922,727926,857253,857255,857257,857259,857261	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\BPreparations\280611\	
465802BIJ	bemiparin sodium	bemiparin sodium(as Anti FXa 3500IU) 35mg	bemiparin	bemiparin	Tracked Drugs	COAGB	Antithrombotic agents	B01AB12	280611.0	RxNorm:280611,727831,727832,727834,727920,727922,727926,857253,857255,857257,857259,857261	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\BPreparations\280611\	
114701ATB	benazepril HCl	benazepril HCl 10mg	benazepril	benazepril	Tracked Drugs	ACEI	ACE inhibitors, plain	C09AA07	18867.0	RxNorm:18867,207780,207792,207800,207820,308607,308609,308612,308613,371001,898687,898689,898690,898692,898719,898721,898723,898725	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\BPreparations\18867\	NDC:00078001801,00078001901,00078002001,00078002101,00078044705,00078044805,00078044905,00078045005,00083005930,00083005932,00083005944,00083005990,00083006330,00083006332,00083006344,00083006390,00083007930,00083007932,00083007944,00083007990,00083009430,00083009432,00083009490,00093512401,00093512501,00093512505,00093512601,00093512605,00093512701,00093512705,00172535010,00172535060,00172535070,00172535080,00172535110,00172535160,00172535170,00172535180,00172535182,00172535185,00172535210,00172535260,00172535270,00172535280,00172535282,00172535285,00172535310,00172535360,00172535370,00172535380,00172535382,00172535384,00185004801,00185004805,00185005301,00185005305,00185050501,00185050505,00185080801,00185080805,00185082001,00185082005,00193512501,00193512601,00247112430,00247112510,00247112530,00247112560,00247112610,00247112630,00247112660,00247112710,00247112730,00247213630,00247213660,00247213730,00247215130,00247215160,00339574311,00339574411,00378044101,00378044301,00378044401,00378044701,00440772390,00440772490,00480512401,00480512501,00480512505,00480512601,00480512605,00480512701,00781189101,00781189201,00781189301,00781189401,00904618940,00904619040,00904619140,00904619240,10544055430,10544055490,10544056130,10544056190,10544056630,10544056690,10609152301,10609152401,10609152404,10609152501,10609152504,10609152601,10609152604,12280003300,12634075760,12634077871,13411029303,13411029403,13411029503,13411029603,13811062710,13811062810,13811062850,13811062910,13811062950,13811063010,13811063050,16590025930,16590025960,16590025990,16590028030,17856050502,18527010111,18527010112,18527010121,18527010122,18527010131,18527010132,18527010141,18527010142,21695032630,21695032660,21695032690,21695032730,21695032760,21695032790,21695061290,21695087730,21695087790,23490018703,23490018706,23490018709,23490018803,23490018806,23490018809,23490018903,23490018906,23490018909,23490105706,23490105807,23490143403,23490511801,23490511901,23490512003,23490512009,23490512101,23629000801,23629008001,26053007001,26053041401,30698044701,30698044801,30698044901,30698045001,33261017930,33261017960,33261017990,33261018000,33261018002,33261018030,33261018060,33261018090,33261084600,33261084630,33261084660,33261084690,33358004830,33358004930,35356043230,35356043260,35356043290,35356058730,35356058760,35356058790,35356086130,35356086160,35356086190,35356091030,35356091060,35356091090,42254015630,42254015690,42254019290,42254025590,42254032890,42291016001,42291016050,42291016090,42291016101,42291016150,42291016190,42291016201,42291016218,42291016250,42291016290,42291016301,42291016318,42291016350,42291016390,43063013130,43063013230,43063013290,43063028830,43063028890,43063040330,43063067730,43063067930,43063067990,43063074830,43063078730,43353047960,43547033510,43547033610,43547033650,43547033710,43547033750,43547033810,43547033850,45865074730,49349030202,49856026501,49856026503,49856026505,49856026508,49856026601,49856026603,49856026605,49856026608,49856026701,49856026703,49856026705,49856026708,49856026801,49856026803,49856026805,49856026808,49999028730,49999075930,50090091200,50090091201,50090091202,50090091300,50090091301,50090091400,50090091401,50090091500,50090324300,50090324301,50090335900,50090377500,50268010911,50268010915,50268011011,50268011015,50268011111,50268011115,50268011211,50268011215,50436033703,50436314001,50436314501,50436314601,51079014220,51079014501,51079014520,51079014601,51079014620,51129282601,51129295101,51129295102,51129311901,51129311902,51129315501,51129315502,51129315601,51129315602,51129332701,51129332702,51129341201,51129341202,51129355901,51129355902,51129396101,51129396102,51129417601,51129417602,51129442301,51129442302,51129446201,51129446202,51129446501,51129446502,51138037930,51138038030,51138038130,51138038230,51138039630,51138039730,51138039830,51138039930,51655006552,51655006652,51655006752,51655064424,51655064452,51655064453,51655064524,51655064552,51655064553,51655064624,51655064652,51655064653,51660073601,51660073605,51660073690,51660073701,51660073705,51660073790,51660073801,51660073805,51660073890,51660073901,51660073905,51660073990,52959083130,52959083190,52959083530,52959083560,52959084130,52959084160,52989083530,53217007630,53217007660,53217007690,53217019030,54458086210,54458086216,54458086310,54458086316,54458089310,54458095610,54458095710,54458095810,54458095910,54569335900,54569335901,54569335902,54569342300,54569342301,54569342304,54569478800,54569478801,54569566800,54569566801,54569566802,54569566900,54569566901,54569567000,54569567001,54868235000,54868235001,54868235002,54868235003,54868235004,54868235100,54868235101,54868235102,54868235103,54868235200,54868235201,54868369000,54868369001,54868500100,54868500101,54868500102,54868507900,54868507901,54868507902,54868520400,54868520401,54868520402,54868520403,54868539200,55045237408,55045281908,55045287008,55045316300,55045316400,55045316500,55048003930,55048004030,55048004330,55154567200,55154567300,55154615400,55154615500,55154620308,55154965000,55154965100,55154965500,55289008630,55289008697,55289010930,55289010997,55289028830,55289034130,55289096330,55567015300,55567015313,55567015318,55567015335,55567015400,55567015413,55567015418,55567015435,55567015500,55567015513,55567015518,55567015535,55567015600,55567015613,55567015618,55567015635,55700029030,55700029060,55700029090,55700029130,55700029190,55700031730,55700031790,55887022330,55887022390,55887032230,55887032260,55887032290,55887032292,55887038530,55887038590,55887087530,57866599001,57866599101,57866599201,58016026400,58016042000,58016042010,58016042030,58016042060,58016042090,58016068500,58016068510,58016068530,58016068560,58016068590,58016068600,58016068601,58016068602,58016068603,58016068604,58016068605,58016068606,58016068607,58016068608,58016068609,58016068610,58016068612,58016068614,58016068615,58016068616,58016068618,58016068620,58016068621,58016068624,58016068625,58016068626,58016068627,58016068628,58016068630,58016068632,58016068635,58016068636,58016068640,58016068642,58016068644,58016068645,58016068648,58016068650,58016068656,58016068660,58016068667,58016068669,58016068670,58016068671,58016068672,58016068673,58016068675,58016068676,58016068677,58016068679,58016068680,58016068681,58016068682,58016068683,58016068684,58016068687,58016068689,58016068690,58016068691,58016068692,58016068693,58016068696,58016068697,58016068698,58016068699,58118033703,58118033709,58118033808,58118033809,58118033908,58118033909,58118034003,58118034009,58177034104,58177034204,58177034208,58177034304,58177034308,58177034404,58177034408,59762314601,59762314602,59762314701,59762314702,59762314801,59762314802,60429015801,60429015890,60429015901,60429015990,60429016001,60429016005,60429016018,60429016090,60491037330,60491037334,60491037430,60491037434,60491037630,60491037634,60491038330,60491038334,60505026501,60505026503,60505026505,60505026508,60505026601,60505026603,60505026605,60505026608,60505026701,60505026703,60505026705,60505026708,60505026801,60505026803,60505026805,60505026808,60760008190,60760008230,60760008290,60760008330,60760035190,60760035290,61392077925,61392077930,61392077931,61392077939,61392080525,61392080530,61392080531,61392080539,61786033619,61786034319,61786066902,61786078419,61919028030,61919028060,62037051601,62037051610,62037051701,62037051710,62037051801,62037051810,62037051901,62037051910,62682604403,63187039330,63187039360,63187039390,63187049930,63187049960,63187049990,63187050030,63187050060,63187050090,63187090630,63187090660,63187090690,63304033701,63304033801,63304033805,63304033901,63304033905,63304034001,63304034005,63304073600,63304073601,63304073605,63304073610,63304073630,63304073677,63304073690,63304073701,63304073705,63304073710,63304073730,63304073777,63304073790,63304073801,63304073805,63304073810,63304073830,63304073877,63304073890,63304073901,63304073905,63304073910,63304073930,63304073977,63304073990,63629172801,63629172802,63629172803,63629172804,63629172805,63629172806,63629267201,63629267202,63629267203,63629267204,63629267901,63629267902,63629267903,63629292301,63629292302,63629292303,63629292304,63629644901,63874112301,63874112303,63874114900,64220005202,64220005302,64220005303,64220005401,64220005402,64220005403,64220005502,64220005503,65162075103,65162075110,65162075150,65162075203,65162075210,65162075250,65162075303,65162075310,65162075350,65162075403,65162075410,65162075450,65862011601,65862011661,65862011690,65862011701,65862011761,65862011790,65862011801,65862011890,66267013430,66267013530,66267013560,66267013630,66336012430,66336012490,66336023230,66336036630,66336069130,66336077330,66336077360,66336077390,66636069130,67263025701,67263030401,67544094232,68071002630,68071002660,68071002690,68071012630,68071012691,68071013530,68071014630,68071014660,68071014690,68071014691,68071021705,68071021730,68071102603,68071102606,68071102609,68071114602,68071114603,68071114606,68071114609,68071177001,68071196902,68071196903,68071196906,68071196909,68071305702,68071305703,68071305706,68071305709,68071314202,68071314203,68071314206,68071314209,68071332401,68071332403,68071332406,68071419803,68071419806,68071419809,68084073925,68084073995,68115021300,68115021510,68115021520,68115021530,68115021540,68115021560,68115021620,68115021630,68115021640,68115021660,68115021690,68115021720,68115021730,68115021740,68115021760,68115021790,68115049020,68115049030,68115049040,68115049060,68115059700,68115061500,68115062100,68115065400,68115082400,68258906201,68382016901,68382016910,68382016916,68382017001,68382017010,68382017016,68382017030,68382017077,68382017101,68382017110,68382017116,68382017130,68382017177,68382017201,68382017210,68382017216,68382017230,68382017277,68788034203,68788059503,68788059506,68788059509,68788073603,68788073606,68788073609,68788073703,68788073706,68788073709,68788073803,68788073806,68788073809,68788535003,68788535006,68788535009,68788535101,68788535102,68788535106,68788535109,68788535200,68788535203,68788535206,68788535209,68788636101,68788636103,68788636106,68788636108,68788636109,68788688901,68788688903,68788688906,68788688908,68788688909,68788695701,68788695703,68788695706,68788695708,68788695709,68788724801,68788724803,68788724806,68788724808,68788724809,68788896801,68788896803,68788896806,68788896808,68788896809,68788905001,68788905003,68788905006,68788905008,68788905009,68788905101,68788905103,68788905106,68788905108,68788905109,68788905201,68788905203,68788905206,68788905208,68788905209,68788905301,68788905303,68788905306,68788905308,68788905309,68788931301,68788931303,68788931306,68788931309,68788932701,68788932703,68788932706,68788932709,68788994501,68788994503,68788994506,68788994509,68788994601,68788994603,68788994606,68788994609,68788994701,68788994703,68788994706,68788994709,69189043401,70518021600,70518025200,70518164000,70771114800,70771114801,70771114809,70771114900,70771114901,70771114902,70771114904,70771114909,70771115000,70771115001,70771115002,70771115004,70771115009,70771115100,70771115101,70771115102,70771115104,70771115109,70786033701,70786033801,71335001101,71335001102,71335001103,71335007801,71335007802,71335007803,71335007804,71335007805,71335007806,71335026701,71335026702,71335026703,71335026704,71335045701,71335045702,71335045703,71335045704,71335085401,71335085402,71335085403,71335085404
114901ATB	bendazac lysine dihydrate	bendazac lysine dihydrate 0.25g										
114902ATB	bendazac lysine dihydrate	bendazac lysine dihydrate 500mg										
115001ATB	benexate betadex	benexate betadex 0.2g										
115104ATB	benidipine hydrochloride	benidipine hydrochloride 6mg										
115103ATB	benidipine hydrochloride	benidipine hydrochloride 8mg										
115102ATB	benidipine hydrochloride	benidipine hydrochloride 4mg										
115101ATB	benidipine hydrochloride	benidipine hydrochloride 2mg										
115330CLQ	benoxinate hydrochloride	benoxinate hydrochloride 0.3g(3mg/mL)										
115332CLQ	benoxinate hydrochloride	benoxinate hydrochloride 30mg(3mg/mL)										
256000ATB	benserazide hydrochloride + levodopa	benserazide hydrochloride (as benserazide 25mg) + levodopa 0.1g										
256000ATD	benserazide hydrochloride + levodopa	benserazide hydrochloride (as benserazide 25mg) + levodopa 0.1g										
256000ATR	benserazide hydrochloride + levodopa	benserazide hydrochloride (as benserazide 25mg) + levodopa 0.1g										
256200ATB	benserazide hydrochloride + levodopa	benserazide hydrochloride (as benserazide 50mg) + levodopa 0.2g										
115502BIJ	benzathine penicillin G	benzathine penicillin G 120ugunit										
115802ATB	benzonatate	benzonatate 200mg										
115801ATB	benzonatate	benzonatate 0.1g										
116002ATB	benztropine mesylate	benztropine mesylate 2mg										
116001ATB	benztropine mesylate	benztropine mesylate 1mg										
116101CLQ	benzydamine  HCl	benzydamine  Hcl 150mg/100ml										
116134CLQ	benzydamine hydrochloride	benzydamine hydrochloride 1.5g(1.5mg/mL)										
453901ATB	bepotastine besilate	bepotastine besilate 5mg										
453930COS	bepotastine besilate	bepotastine besilate (as bepotastine 53.5mg(10.7mg/mL))										
453903COS	bepotastine besilate	bepotastine besilate 15mg(as bepotastine 10.7mg)										
453902ATB	bepotastine besilate	bepotastine besilate 10mg										
508801ATD	bepotastine calcium dihydrate	bepotastine calcium dihydrate (as bepotastine 7.11mg)										
521601ATB	bepotastine salicylate	bepotastine salicylate (as bepotastine 7.11mg)										
116202ATB	beraprost sodium	beraprost sodium 40ug										
116201ATB	beraprost sodium	beraprost sodium 20ug										
506230BIJ	beroctocog alpha	beroctocog alpha 500I.U										
506231BIJ	beroctocog alpha	beroctocog alpha 1KI.U										
506232BIJ	beroctocog alpha	beroctocog alpha 250I.U										
596201COS	besifloxacin HCl	besifloxacin HCl(as besifloxacin) 6.06mg										
665401ATB	besifovir dipivoxil maleate	besifovir dipivoxil maleate (as besifovir dipivoxil 0.15g)										
550602ATB	betahistine hydrochloride	betahistine hydrochloride 16mg										
550603ATB	betahistine hydrochloride	betahistine hydrochloride 24mg										
116301ATB	betahistine mesylate	betahistine mesylate 6mg										
116302ATB	betahistine mesylate	betahistine mesylate 12mg										
494001AGN	betaine anhydrous	betaine anhydrous 180g(1g/g)										
116401ATB	betamethasone	betamethasone 0.5mg										
296900ATB	betamethasone + d-chlorpheniramine maleate	betamethasone 0.25mg + d-chlorpheniramine maleate 2mg										
490500COM	betamethasone dipropionate + calciportriol	betamethasone dipropionate 0.643mg + calciportriol 50ug										
549800COM	betamethasone dipropionate + calcipotriol monohydrate	betamethasone dipropionate 19.29mg(0.643mg/g) + calcipotriol monohydrate (as calcipotriol 1.5mg(50ug/g))										
800500COM	betamethasone dipropionate + calcipotriol monohydrate	betamethasone dipropionate 32.15mg(0.643mg/g) + calcipotriol monohydrate (as calcipotriol 2.5mg(50ug/g))										
549700CEN	betamethasone dipropionate + calcipotriol monohydrate	betamethasone dipropionate 38.58mg(0.643mg/g) + calcipotriol monohydrate (as calcipotriol 3mg(50ug/g))										
549700COM	betamethasone dipropionate + calcipotriol monohydrate	betamethasone dipropionate 38.58mg(0.643mg/g) + calcipotriol monohydrate (as calcipotriol 3mg(50ug/g))										
548600COM	betamethasone dipropionate + clotrimazole + gentamicin sulfate	betamethasone dipropionate 6.4mg(0.64mg/g) + clotrimazole 0.1g(10mg/g) + gentamicin sulfate 10mg(1mg/g)										
548700COM	betamethasone dipropionate + clotrimazole + gentamicin sulfate	betamethasone dipropionate 9.6mg(0.64mg/g) + clotrimazole 0.15g(10mg/g) + gentamicin sulfate 15mg(1mg/g)										
548800COM	betamethasone dipropionate + clotrimazole + gentamicin sulfate	betamethasone dipropionate 12.8mg(0.64mg/g) + clotrimazole 0.2g(10mg/g) + gentamicin sulfate 20mg(1mg/g)										
548900COM	betamethasone dipropionate + clotrimazole + gentamicin sulfate	betamethasone dipropionate 19.2mg(0.64mg/g) + clotrimazole 0.3g(10mg/g) + gentamicin sulfate 30mg(1mg/g)										
549300COM	betamethasone dipropionate + clotrimazole + gentamicin sulfate	betamethasone dipropionate 0.288g(0.64mg/g) + clotrimazole 4.5g(10mg/g) + gentamicin sulfate 0.45g(1mg/g)										
549400COM	betamethasone dipropionate + clotrimazole + gentamicin sulfate	betamethasone dipropionate 0.32g(0.64mg/g) + clotrimazole 5g(10mg/g) + gentamicin sulfate 0.5g(1mg/g)										
346400COM	betamethasone dipropionate + clotrimazole + gentamicin sulfate	betamethasone dipropionate 640ug + clotrimazole 10mg + gentamicin sulfate 1mg										
344900COM	betamethasone dipropionate + gentamicin sulfate	betamethasone dipropionate 640ug + gentamicin sulfate 1mg										
547100COM	betamethasone dipropionate + gentamicin sulfate	betamethasone dipropionate 9.6mg(0.64mg/g) + gentamicin sulfate 15mg(1mg/g)										
657500COM	betamethasone dipropionate + gentamicin sulfate	betamethasone dipropionate 12.8mg(0.64mg/g) + gentamicin sulfate 20mg(1mg/g)										
116530BIJ	betamethasone sodium phosphate	betamethasone sodium phosphate (as betamethasone 4mg(4mg/mL))										
116502BIJ	betamethasone sodium phosphate	betamethasone sodium phosphate 4mg										
116631CLQ	betamethasone valerate	betamethasone valerate 82.875mg(1.105mg/mL)										
116601CLQ	betamethasone valerate	betamethasone valerate 1.105mg										
528400COM	betamethasone valerate + gentamicin sulfate	betamethasone valerate (as betamethasone 15mg(1mg/g)) + gentamicin sulfate 15mg(1mg/g)										
528300COM	betamethasone valerate + gentamicin sulfate	betamethasone valerate (as betamethasone 10mg(1mg/g)) + gentamicin sulfate 10mg(1mg/g)										
